drug_dose,bluelight,featuresN_filename,imgstore_name,file_id,n_skeletons,well_name,is_good_well,50ml_falcon_tube,bacteria_strain,bad_wells,camera_serial,cave_humidity_percent,cave_temp_oC,cave_time,comments,date_bleached_yyyymmdd,date_plates_poured_yyyymmdd,date_refed_yyyymmdd,date_yyyymmdd,days_in_diapause,destination_slot,drug_type,end_column,end_row,end_well,imaging_plate_column,imaging_plate_drug_concentration,imaging_plate_drug_concentration_units,imaging_plate_id,imaging_plate_row,imaging_run_number,instrument_name,is_bad_well,media_type,middle_wormsorter_time,number_worms_per_well,recording_time,robot_run_number,robot_runlog_filename,robot_runlog_id,source_plate_column,source_plate_id,source_robotslot,source_well,start_column,start_row,start_well,stock_plate_id,volume,water_robotslot,which_first,worm_strain,wormsorter_end_time,wormsorter_start_time,cave_humidity,cave_temperature,is_bad_well_from_gui,is_bad_well_misplaced_plate,is_bad_well_ledfailure,MOA_general,MOA_specific,MOA_group,screen,is_bad_well_day,source_plate_id_day,source_plate_id_robot,destination_well,drug_code,is_bad_well_robot,library_plate_number,source_plate_name,source_plate_number,shuffled_plate_id
0.0,bluelight,/mnt/storage/home/em812/tierpsy_syngentaDec/Results/20191211/syngenta_screen_run1_bluelight_20191211_145505.22956812/metadata_featuresN.hdf5,20191211/syngenta_screen_run1_bluelight_20191211_145505.22956812,2,7762.0,A2,1,1.0,OP50,,22956812.0,,,14:20,,20191130.0,20191203.0,20191202.0,20191211.0,2.0,11.0,NoCompound,12.0,D,D12,2.0,0.0,na,rr01_sp04_ds11,A,1.0,Hydra04,False,LPNGM,10:47,2.0,14:50,1.0,/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/AuxiliaryFiles/20191211/20191210_robot_runlogs/20191210_103639_runlog.csv,1.0,12.0,4.0,10.0,A12,1.0,A,A1,Synstock_M20,3.0,9.0,N2,N2,10:55,10:40,,,False,False,False,NoCompound,,-1,0,,,,,,,,,,
0.0,bluelight,/mnt/storage/home/em812/tierpsy_syngentaDec/Results/20191211/syngenta_screen_run1_bluelight_20191211_145505.22956812/metadata_featuresN.hdf5,20191211/syngenta_screen_run1_bluelight_20191211_145505.22956812,2,7579.0,B2,1,1.0,OP50,,22956812.0,,,14:20,,20191130.0,20191203.0,20191202.0,20191211.0,2.0,11.0,NoCompound,12.0,D,D12,2.0,0.0,na,rr01_sp04_ds11,B,1.0,Hydra04,False,LPNGM,10:47,2.0,14:50,1.0,/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/AuxiliaryFiles/20191211/20191210_robot_runlogs/20191210_103639_runlog.csv,1.0,12.0,4.0,10.0,B12,1.0,A,A1,Synstock_M20,3.0,9.0,N2,N2,10:55,10:40,,,False,False,False,NoCompound,,-1,0,,,,,,,,,,
0.0,bluelight,/mnt/storage/home/em812/tierpsy_syngentaDec/Results/20191211/syngenta_screen_run1_bluelight_20191211_145505.22956812/metadata_featuresN.hdf5,20191211/syngenta_screen_run1_bluelight_20191211_145505.22956812,2,15081.0,C2,1,1.0,OP50,,22956812.0,,,14:20,,20191130.0,20191203.0,20191202.0,20191211.0,2.0,11.0,NoCompound,12.0,D,D12,2.0,0.0,na,rr01_sp04_ds11,C,1.0,Hydra04,False,LPNGM,10:47,2.0,14:50,1.0,/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/AuxiliaryFiles/20191211/20191210_robot_runlogs/20191210_103639_runlog.csv,1.0,12.0,4.0,10.0,C12,1.0,A,A1,Synstock_M20,3.0,9.0,N2,N2,10:55,10:40,,,False,False,False,NoCompound,,-1,0,,,,,,,,,,
0.0,bluelight,/mnt/storage/home/em812/tierpsy_syngentaDec/Results/20191211/syngenta_screen_run1_bluelight_20191211_145505.22956812/metadata_featuresN.hdf5,20191211/syngenta_screen_run1_bluelight_20191211_145505.22956812,2,7842.0,D2,1,1.0,OP50,,22956812.0,,,14:20,,20191130.0,20191203.0,20191202.0,20191211.0,2.0,11.0,NoCompound,12.0,D,D12,2.0,0.0,na,rr01_sp04_ds11,D,1.0,Hydra04,False,LPNGM,10:47,2.0,14:50,1.0,/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/AuxiliaryFiles/20191211/20191210_robot_runlogs/20191210_103639_runlog.csv,1.0,12.0,4.0,10.0,D12,1.0,A,A1,Synstock_M20,3.0,9.0,N2,N2,10:55,10:40,,,False,False,False,NoCompound,,-1,0,,,,,,,,,,
0.0,bluelight,/mnt/storage/home/em812/tierpsy_syngentaDec/Results/20191211/syngenta_screen_run1_bluelight_20191211_145505.22956834/metadata_featuresN.hdf5,20191211/syngenta_screen_run1_bluelight_20191211_145505.22956834,5,5263.0,H2,1,1.0,OP50,,22956834.0,,,14:20,,20191130.0,20191203.0,20191202.0,20191211.0,2.0,11.0,NoCompound,12.0,H,H12,2.0,0.0,na,rr01_sp04_ds11,H,1.0,Hydra04,False,LPNGM,10:47,2.0,14:50,1.0,/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/AuxiliaryFiles/20191211/20191210_robot_runlogs/20191210_103639_runlog.csv,1.0,12.0,4.0,10.0,H12,1.0,E,E1,Synstock_M20,3.0,9.0,N2,CB4856,10:55,10:40,,,False,False,False,NoCompound,,-1,0,,,,,,,,,,
0.0,bluelight,/mnt/storage/home/em812/tierpsy_syngentaDec/Results/20191211/syngenta_screen_run1_bluelight_20191211_145505.22956834/metadata_featuresN.hdf5,20191211/syngenta_screen_run1_bluelight_20191211_145505.22956834,5,12694.0,E2,1,1.0,OP50,,22956834.0,,,14:20,,20191130.0,20191203.0,20191202.0,20191211.0,2.0,11.0,NoCompound,12.0,H,H12,2.0,0.0,na,rr01_sp04_ds11,E,1.0,Hydra04,False,LPNGM,10:47,2.0,14:50,1.0,/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/AuxiliaryFiles/20191211/20191210_robot_runlogs/20191210_103639_runlog.csv,1.0,12.0,4.0,10.0,E12,1.0,E,E1,Synstock_M20,3.0,9.0,N2,CB4856,10:55,10:40,,,False,False,False,NoCompound,,-1,0,,,,,,,,,,
0.0,bluelight,/mnt/storage/home/em812/tierpsy_syngentaDec/Results/20191211/syngenta_screen_run1_bluelight_20191211_145505.22956834/metadata_featuresN.hdf5,20191211/syngenta_screen_run1_bluelight_20191211_145505.22956834,5,3102.0,G2,1,1.0,OP50,,22956834.0,,,14:20,,20191130.0,20191203.0,20191202.0,20191211.0,2.0,11.0,NoCompound,12.0,H,H12,2.0,0.0,na,rr01_sp04_ds11,G,1.0,Hydra04,False,LPNGM,10:47,2.0,14:50,1.0,/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/AuxiliaryFiles/20191211/20191210_robot_runlogs/20191210_103639_runlog.csv,1.0,12.0,4.0,10.0,G12,1.0,E,E1,Synstock_M20,3.0,9.0,N2,CB4856,10:55,10:40,,,False,False,False,NoCompound,,-1,0,,,,,,,,,,
0.0,bluelight,/mnt/storage/home/em812/tierpsy_syngentaDec/Results/20191211/syngenta_screen_run1_bluelight_20191211_145547.22956837/metadata_featuresN.hdf5,20191211/syngenta_screen_run1_bluelight_20191211_145547.22956837,10,4705.0,F1,1,1.0,OP50,,22956837.0,,,14:20,,20191130.0,20191203.0,20191202.0,20191211.0,2.0,5.0,NoCompound,12.0,H,H12,1.0,0.0,na,rr01_sp02_ds05,F,1.0,Hydra02,False,LPNGM,10:47,2.0,14:50,1.0,/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/AuxiliaryFiles/20191211/20191210_robot_runlogs/20191210_103639_runlog.csv,1.0,12.0,2.0,4.0,F12,1.0,E,E1,Synstock_M18,3.0,9.0,N2,CB4856,10:55,10:40,,,False,False,False,NoCompound,,-1,0,,,,,,,,,,
0.0,bluelight,/mnt/storage/home/em812/tierpsy_syngentaDec/Results/20191211/syngenta_screen_run1_bluelight_20191211_145547.22956837/metadata_featuresN.hdf5,20191211/syngenta_screen_run1_bluelight_20191211_145547.22956837,10,5882.0,G1,1,1.0,OP50,,22956837.0,,,14:20,,20191130.0,20191203.0,20191202.0,20191211.0,2.0,5.0,NoCompound,12.0,H,H12,1.0,0.0,na,rr01_sp02_ds05,G,1.0,Hydra02,False,LPNGM,10:47,2.0,14:50,1.0,/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/AuxiliaryFiles/20191211/20191210_robot_runlogs/20191210_103639_runlog.csv,1.0,12.0,2.0,4.0,G12,1.0,E,E1,Synstock_M18,3.0,9.0,N2,CB4856,10:55,10:40,,,False,False,False,NoCompound,,-1,0,,,,,,,,,,
0.0,bluelight,/mnt/storage/home/em812/tierpsy_syngentaDec/Results/20191211/syngenta_screen_run1_bluelight_20191211_145547.22956837/metadata_featuresN.hdf5,20191211/syngenta_screen_run1_bluelight_20191211_145547.22956837,10,6570.0,E1,1,1.0,OP50,,22956837.0,,,14:20,,20191130.0,20191203.0,20191202.0,20191211.0,2.0,5.0,NoCompound,12.0,H,H12,1.0,0.0,na,rr01_sp02_ds05,E,1.0,Hydra02,False,LPNGM,10:47,2.0,14:50,1.0,/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/AuxiliaryFiles/20191211/20191210_robot_runlogs/20191210_103639_runlog.csv,1.0,12.0,2.0,4.0,E12,1.0,E,E1,Synstock_M18,3.0,9.0,N2,CB4856,10:55,10:40,,,False,False,False,NoCompound,,-1,0,,,,,,,,,,
